2015-10-22,175.050003,180.350006,174.229996,179.50,1286400,178.736175
2015-10-21,175.690002,176.050003,173.869995,174.130005,762400,173.38903
2015-10-20,173.690002,175.339996,173.190002,174.449997,805000,173.707661
2015-10-19,174.059998,174.630005,172.869995,174.580002,602600,173.837112
2015-10-16,174.949997,175.440002,173.619995,174.880005,1087100,174.135839
2015-10-15,174.520004,174.740005,172.399994,174.059998,1115500,173.319321
2015-10-14,176.809998,176.929993,173.509995,173.800003,708900,173.060433
2015-10-13,176.699997,177.919998,176.229996,177.00,1015800,176.246813
2015-10-12,176.660004,177.779999,175.389999,177.190002,1325200,176.436007
2015-10-09,173.639999,176.830002,173.169998,175.75,1485400,175.002132
2015-10-08,170.210007,173.800003,169.240005,173.75,1139200,173.010643
2015-10-07,169.570007,171.369995,168.809998,171.199997,1106100,170.47149
2015-10-06,170.350006,171.399994,168.259995,168.410004,1091700,167.693369
2015-10-05,169.199997,171.259995,168.330002,170.380005,1218400,169.654988
2015-10-02,163.970001,167.600006,163.199997,167.529999,1104100,166.817109
2015-10-01,166.00,166.399994,162.679993,165.720001,1413700,165.014814
2015-09-30,165.149994,167.259995,164.479996,165.949997,1248500,165.243831
2015-09-29,162.649994,163.899994,161.809998,163.550003,784000,162.85405
2015-09-28,164.369995,165.529999,162.50,162.649994,1063900,161.95787
2015-09-25,167.809998,168.600006,164.839996,165.570007,952900,164.865458
2015-09-24,165.919998,167.539993,163.699997,166.779999,1102600,166.070301
2015-09-23,167.919998,168.339996,166.039993,167.419998,844800,166.707577
2015-09-22,167.360001,168.429993,166.539993,167.630005,887100,166.91669
2015-09-21,169.289993,171.529999,169.169998,170.210007,986000,169.485713
2015-09-18,168.449997,170.800003,167.960007,168.979996,2347600,168.260936
2015-09-17,171.740005,173.490005,170.330002,170.720001,1196300,169.993537
2015-09-16,171.770004,171.899994,169.720001,170.960007,928900,170.232521
2015-09-15,168.229996,170.970001,167.369995,170.330002,1023600,169.605197
2015-09-14,168.419998,168.830002,167.119995,167.830002,871700,167.115836
2015-09-11,165.270004,168.580002,164.839996,168.520004,927100,167.802902
2015-09-10,165.320007,166.839996,164.960007,165.699997,1045500,164.994895
2015-09-09,169.899994,170.169998,165.910004,166.259995,761800,165.552509
2015-09-08,164.889999,168.300003,164.520004,168.009995,1721700,167.295062
2015-09-04,162.929993,163.25,161.050003,162.300003,1197900,161.609369
2015-09-03,164.949997,166.910004,164.330002,164.649994,1055200,163.94936
2015-09-02,160.949997,164.630005,160.470001,164.610001,1081300,163.909537
2015-09-01,160.75,161.690002,158.839996,159.369995,1611100,158.691829
2015-08-31,165.50,165.830002,163.600006,163.740005,974800,163.043243
2015-08-28,166.580002,167.429993,164.490005,165.539993,979200,164.835572
2015-08-27,165.259995,167.949997,163.770004,167.080002,1168700,166.369027
2015-08-26,162.800003,164.740005,159.139999,164.479996,1479700,162.983489
2015-08-25,163.660004,164.330002,159.070007,159.690002,1760800,158.237077
2015-08-24,152.309998,165.910004,152.309998,160.020004,2293900,158.564077
2015-08-21,171.179993,171.740005,165.210007,165.350006,1985300,163.845584
2015-08-20,173.949997,174.550003,172.589996,172.589996,1118800,171.019702
2015-08-19,174.949997,176.830002,173.600006,175.619995,1024400,174.022132
2015-08-18,174.429993,175.779999,174.339996,175.50,727100,173.903229
2015-08-17,173.600006,174.869995,172.350006,174.710007,685700,173.120423
2015-08-14,173.029999,174.350006,172.259995,174.179993,718200,172.595232
2015-08-13,172.089996,173.619995,172.00,172.860001,626000,171.287249
2015-08-12,171.979996,172.300003,169.610001,171.559998,1152800,169.999074
2015-08-11,173.270004,173.699997,172.169998,173.270004,767200,171.693523
2015-08-10,174.139999,175.839996,173.740005,175.25,828300,173.655504
2015-08-07,172.720001,173.320007,171.029999,172.649994,872300,171.079153
2015-08-06,173.940002,174.110001,171.699997,172.869995,875200,171.297153
2015-08-05,173.050003,174.520004,172.910004,173.679993,1120900,172.099781
2015-08-04,172.600006,173.210007,171.580002,172.119995,1392300,170.553977
2015-08-03,172.850006,173.360001,170.669998,172.160004,1346300,170.593621
2015-07-31,175.850006,175.850006,172.729996,173.009995,1742300,171.435879
2015-07-30,172.860001,176.020004,172.360001,175.410004,1656800,173.814051
2015-07-29,170.600006,176.50,167.179993,173.440002,3107200,171.861974
2015-07-28,163.410004,164.580002,162.00,163.339996,1584000,161.853862
2015-07-27,163.919998,164.25,162.160004,162.559998,970500,161.08096
2015-07-24,165.589996,165.979996,164.190002,164.800003,665500,163.300585
2015-07-23,166.610001,167.589996,165.139999,165.50,1222600,163.994213
2015-07-22,166.75,167.240005,165.75,166.279999,905400,164.767115
2015-07-21,169.110001,169.470001,165.979996,166.770004,833800,165.252662
2015-07-20,169.539993,170.350006,168.979996,169.830002,877700,168.284819
