2015-10-23,63.889999,63.950001,63.509998,63.860001,2370200,63.860001
2015-10-22,61.720001,63.759998,61.330002,63.400002,2616800,63.400002
2015-10-21,63.389999,63.50,61.139999,61.18,4011500,61.18
2015-10-20,63.209999,64.00,63.200001,63.889999,1487400,63.889999
2015-10-19,63.009998,63.490002,63.009998,63.380001,1554400,63.380001
2015-10-16,63.220001,63.48,63.060001,63.360001,2428200,63.360001
2015-10-15,62.139999,63.150002,61.93,63.139999,1840300,63.139999
2015-10-14,61.48,62.099998,61.41,61.860001,2745100,61.860001
2015-10-13,61.650002,62.00,61.48,61.560001,2116000,61.560001
2015-10-12,61.709999,62.150002,61.580002,61.950001,1877100,61.950001
2015-10-09,61.869999,62.360001,61.68,61.799999,2050200,61.799999
2015-10-08,61.860001,62.18,61.41,61.900002,2751800,61.900002
2015-10-07,62.220001,62.57,61.279999,61.869999,2355900,61.869999
2015-10-06,61.84,62.049999,61.310001,61.880001,2196600,61.880001
2015-10-05,60.459999,62.080002,60.380001,61.799999,2036100,61.799999
2015-10-02,58.75,59.990002,58.57,59.990002,2724300,59.990002
2015-10-01,59.759998,60.330002,58.700001,59.470001,2557100,59.470001
2015-09-30,58.439999,59.959999,58.290001,59.889999,2985300,59.889999
2015-09-29,56.91,57.700001,56.75,57.599998,3072900,57.599998
2015-09-28,58.200001,58.34,56.77,56.849998,2988900,56.849998
2015-09-25,59.110001,59.689999,58.009998,58.419998,2460300,58.419998
2015-09-24,58.189999,58.619999,57.110001,58.400002,2558800,58.400002
2015-09-23,59.049999,59.41,58.490002,58.810001,1838300,58.810001
2015-09-22,60.299999,60.52,58.720001,59.139999,2973300,59.139999
2015-09-21,61.540001,62.18,61.110001,61.349998,2087700,61.349998
2015-09-18,61.41,61.830002,61.02,61.349998,3813000,61.349998
2015-09-17,62.470001,63.25,62.169998,62.360001,2603200,62.360001
2015-09-16,61.57,62.82,61.34,62.759998,2226400,62.759998
2015-09-15,60.93,61.82,60.759998,61.66,1645800,61.66
2015-09-14,60.759998,60.830002,60.360001,60.73,2142600,60.73
2015-09-11,59.740002,60.810001,59.549999,60.759998,1937700,60.759998
2015-09-10,59.360001,60.66,59.279999,60.23,2010700,60.23
2015-09-09,60.880001,61.040001,59.509998,59.610001,1702200,59.610001
2015-09-08,58.900002,60.310001,58.25,60.279999,1838500,60.279999
2015-09-04,58.400002,58.610001,57.84,58.23,2420500,58.23
2015-09-03,59.48,60.080002,59.060001,59.139999,1887000,59.139999
2015-09-02,58.700001,59.040001,57.98,59.040001,2244300,59.040001
2015-09-01,58.049999,58.610001,57.540001,57.91,3042200,57.91
2015-08-31,59.009998,60.00,58.790001,59.290001,2556200,59.290001
2015-08-28,58.549999,59.419998,58.549999,59.240002,2819900,59.240002
2015-08-27,57.459999,58.639999,57.09,58.07,2262000,58.07
2015-08-26,57.75,57.900002,55.23,56.880001,3454200,56.880001
2015-08-25,58.029999,58.029999,55.490002,55.529999,2545200,55.529999
2015-08-24,54.82,58.34,54.32,56.240002,4498200,56.240002
2015-08-21,60.119999,60.669998,58.73,58.77,2427500,58.77
2015-08-20,61.759998,61.98,60.84,60.869999,2398600,60.869999
2015-08-19,62.119999,62.900002,61.619999,62.380001,1628000,62.380001
2015-08-18,62.41,62.610001,62.080002,62.360001,1441800,62.360001
2015-08-17,62.25,62.709999,61.759998,62.540001,1001300,62.540001
2015-08-14,61.700001,62.599998,61.66,62.529999,1097700,62.529999
2015-08-13,62.540001,63.09,61.82,61.849998,1659100,61.849998
2015-08-12,62.380001,62.689999,61.450001,62.580002,1760700,62.580002
2015-08-11,63.349998,63.619999,62.73,62.779999,2479300,62.779999
2015-08-10,62.330002,64.07,62.279999,64.059998,2302700,64.059998
2015-08-07,61.50,62.049999,61.349998,61.91,1137700,61.91
2015-08-06,62.41,62.619999,61.599998,61.630001,2005300,61.630001
2015-08-05,61.66,62.75,61.419998,62.59,2431400,62.59
2015-08-04,60.880001,61.330002,60.75,61.02,2544700,61.02
2015-08-03,60.860001,61.16,60.52,60.959999,1705600,60.959999
2015-07-31,60.970001,61.279999,60.540001,60.919998,2318500,60.919998
2015-07-30,60.50,60.849998,60.459999,60.700001,4168600,60.700001
2015-07-29,60.700001,61.119999,60.580002,60.630001,2695500,60.630001
2015-07-28,60.23,61.07,59.810001,60.669998,2489400,60.669998
2015-07-27,60.049999,60.57,59.700001,59.849998,2390500,59.849998
2015-07-24,61.099998,61.48,60.18,60.290001,3956700,60.290001
2015-07-23,61.700001,62.09,60.900002,61.139999,3515800,61.139999
2015-07-22,62.09,62.68,61.450001,61.700001,6561500,61.700001
2015-07-21,62.310001,62.93,62.080002,62.369999,1823100,62.369999
2015-07-20,62.240002,62.610001,61.880001,62.380001,1463700,62.380001
